timestamp,open,high,low,close,volume
2022-04-26,57.4700,57.8500,56.2100,56.2900,9829763
2022-04-25,56.7200,57.8750,54.8600,57.2900,13642353
2022-04-22,61.4800,61.8750,57.9600,58.4200,12646544
2022-04-21,65.0700,65.3700,61.0700,61.5400,10452492
2022-04-20,65.5200,66.2400,64.0800,65.5900,6331310
2022-04-19,64.9200,65.7900,64.2400,65.6400,5879787
2022-04-18,66.3700,66.6300,65.3650,65.5600,6186676
2022-04-14,65.0200,66.1800,64.9000,65.8500,7725931
2022-04-13,63.0500,65.2600,62.3100,65.1600,8273986
2022-04-12,61.5800,63.6000,61.5800,62.3300,5038189
2022-04-11,61.4700,61.9800,60.4000,60.8000,4855439
2022-04-08,61.8900,62.5600,60.7050,61.3700,4088529
2022-04-07,60.2800,61.7550,59.6500,61.4900,5130322
2022-04-06,60.7500,60.9300,59.1600,60.1400,6580132
2022-04-05,62.4700,63.7600,60.3400,60.5700,7945299
2022-04-04,62.8800,63.0500,61.4700,62.0700,3446040
2022-04-01,61.7900,63.0400,61.1200,62.4200,5321274
2022-03-31,61.3800,62.5800,61.2900,61.2900,4527394
2022-03-30,61.6700,62.6500,60.9450,61.6600,6380940
2022-03-29,60.0100,61.0200,58.6300,60.9900,13231165
2022-03-28,62.6700,62.8000,60.9555,61.8700,6945090
2022-03-25,62.9200,63.7000,62.7700,63.3300,4667804
2022-03-24,62.0300,63.4200,61.7600,63.3100,6652431
2022-03-23,60.7400,61.9200,60.6400,61.6200,7675668
2022-03-22,61.2000,61.6900,59.8900,60.5300,5844195
2022-03-21,59.6600,61.4900,59.4700,60.9100,7528134
2022-03-18,57.9500,58.6400,57.2000,58.5600,7585796
2022-03-17,56.6900,58.5100,56.4700,58.3000,8307154
2022-03-16,56.0500,56.7300,54.3900,55.8600,7947465
2022-03-15,53.5000,55.9300,53.2000,55.6000,8404771
2022-03-14,57.2500,57.2800,54.2700,54.9600,11259840
2022-03-11,58.7600,59.4500,57.9100,58.3100,7036497
2022-03-10,57.7500,59.7800,57.7200,59.6900,12262422
2022-03-09,56.0500,57.5700,55.1400,57.0800,10722248
2022-03-08,57.0500,59.0100,56.0700,57.0800,13738864
2022-03-07,59.0600,60.3700,56.7100,57.6000,11847386
2022-03-04,57.3400,59.2150,56.8900,59.1100,9587690
2022-03-03,56.0900,58.1900,55.7800,57.7800,12172512
2022-03-02,54.5400,56.3200,54.2350,55.9700,7772367
2022-03-01,53.2900,55.2500,52.7200,53.9300,9009819
2022-02-28,51.7700,53.1200,51.6000,52.6200,9266669
2022-02-25,48.8800,51.7800,48.8200,51.7700,7879114
2022-02-24,49.0500,49.2900,47.9400,49.0000,8309070
2022-02-23,49.3300,50.6175,49.0400,49.6100,6904088
2022-02-22,49.6600,50.3899,48.5100,48.9900,6386978
2022-02-18,49.4700,49.9888,48.9500,49.4000,5220076
2022-02-17,49.7300,50.3800,49.3800,49.7500,4689329
2022-02-16,49.8100,50.7800,49.5500,50.0100,7339664
2022-02-15,48.6900,49.8650,48.0400,49.7500,5788256
2022-02-14,48.5000,49.0250,47.8600,48.8300,10276831
2022-02-11,46.6600,48.5400,46.6000,48.4000,10274529
2022-02-10,46.9500,48.9900,46.8000,47.3100,7480020
2022-02-09,46.5300,47.5867,46.3300,47.3500,5321382
2022-02-08,44.7600,46.3890,44.7600,46.3100,4683275
2022-02-07,44.5000,44.9700,43.9800,44.5700,4307737
2022-02-04,43.7500,44.7500,43.6600,44.2600,4290722
2022-02-03,43.7500,44.8300,43.6100,43.8200,4201446
2022-02-02,44.0300,44.5100,43.2500,44.1900,6281551
2022-02-01,42.4500,43.6900,42.1900,43.6300,6411444
2022-01-31,41.2800,41.8550,40.8500,41.7200,7285867
2022-01-28,40.8600,41.3800,40.0000,41.3700,5321289
2022-01-27,41.9300,42.7000,40.7500,41.0200,5786342
2022-01-26,43.0700,43.6000,41.1300,41.6700,5352428
2022-01-25,42.0000,43.1500,41.1800,42.8000,4601964
2022-01-24,40.9900,42.8500,40.0500,42.6600,7257572
2022-01-21,44.0700,44.0700,42.0600,42.2700,8788796
2022-01-20,46.3900,47.0900,44.4200,44.5000,6094812
2022-01-19,46.9500,47.2400,45.9200,46.1800,3321650
2022-01-18,46.7200,47.2300,45.8000,46.2100,5837753
2022-01-14,46.4000,47.0700,46.1200,46.9800,2912923
